GENESIS-Tabelle: 12521-0040
Ausländer: Kreise, Stichtag, Geschlecht;;;;;
Ausländerstatistik;;;;;
Ausländer (Anzahl);;;;;
;;;männlich;weiblich;Insgesamt
31.12.2020;01001;Flensburg, kreisfreie Stadt;9330;7355;16685
31.12.2020;01002;Kiel, kreisfreie Stadt;16455;14770;31230
31.12.2020;01003;Lübeck, kreisfreie Stadt;13775;12365;26140
31.12.2020;01004;Neumünster, kreisfreie Stadt;6595;4985;11575
31.12.2020;01051;Dithmarschen, Landkreis;4975;4075;9055
31.12.2020;01053;Herzogtum Lauenburg, Landkreis;9400;8110;17505
31.12.2020;01054;Nordfriesland, Landkreis;6835;6080;12920
31.12.2020;01055;Ostholstein, Landkreis;6950;5980;12930
31.12.2020;01056;Pinneberg, Landkreis;20540;18690;39225
31.12.2020;01057;Plön, Landkreis;3540;3050;6590
31.12.2020;01058;Rendsburg-Eckernförde, Landkreis;9265;7475;16740
31.12.2020;01059;Schleswig-Flensburg, Landkreis;6590;5700;12290
31.12.2020;01060;Segeberg, Landkreis;16290;13170;29460
31.12.2020;01061;Steinburg, Landkreis;5405;4400;9810
31.12.2020;01062;Stormarn, Landkreis;10920;9895;20810
31.12.2020;02000;Hamburg, kreisfreie Stadt;170835;152615;323450
31.12.2020;03101;Braunschweig, kreisfreie Stadt;16600;14350;30950
31.12.2020;03102;Salzgitter, kreisfreie Stadt;11140;9645;20785
31.12.2020;03103;Wolfsburg, kreisfreie Stadt;10925;9340;20265
31.12.2020;03151;Gifhorn, Landkreis;6905;6050;12955
31.12.2020;03152;Göttingen, Landkreis (bis 31.10.2016);-;-;-
31.12.2020;03153;Goslar, Landkreis;7780;6045;13830
31.12.2020;03154;Helmstedt, Landkreis;3705;3055;6760
31.12.2020;03155;Northeim, Landkreis;4875;4435;9310
31.12.2020;03156;Osterode am Harz, Landkreis (bis 31.10.2016);-;-;-
31.12.2020;03157;Peine, Landkreis;6335;5645;11985
31.12.2020;03158;Wolfenbüttel, Landkreis;4205;3655;7860
31.12.2020;03159;Göttingen, Landkreis;16605;15660;32265
31.12.2020;03201;Hannover, kreisfreie Stadt (bis 31.10.2001);-;-;-
31.12.2020;03241;Region Hannover, Landkreis;98075;87600;185675
31.12.2020;03251;Diepholz, Landkreis;10265;9130;19395
31.12.2020;03252;Hameln-Pyrmont, Landkreis;9095;8365;17460
31.12.2020;03253;Hannover, Landkreis (bis 31.10.2001);-;-;-
31.12.2020;03254;Hildesheim, Landkreis;13755;11770;25525
31.12.2020;03255;Holzminden, Landkreis;2410;2075;4490
31.12.2020;03256;Nienburg (Weser), Landkreis;5715;4845;10560
31.12.2020;03257;Schaumburg, Landkreis;7945;6815;14755
31.12.2020;03351;Celle, Landkreis;7595;6705;14300
31.12.2020;03352;Cuxhaven, Landkreis;7165;6245;13410
31.12.2020;03353;Harburg, Landkreis;13110;9575;22685
31.12.2020;03354;Lüchow-Dannenberg, Landkreis;1560;1340;2900
