GENESIS-Tabelle: 12411-0018
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2020;01001;Flensburg, kreisfreie Stadt;1410;1308;1501;1982;1128;1008;4051;4355;3482;2664;2517;2419;3243;3155;2608;4054;3912;1299;1177;1526;1807;1078;955;4382;3636;2692;2361;2326;2521;3176;3092;2803;4681;5625
31.12.2020;01002;Kiel, kreisfreie Stadt;3432;3310;3980;4923;2966;2469;10389;11782;10717;8106;6883;6799;8930;8377;6870;10307;9805;3350;3161;3787;4718;2719;2488;11516;11448;9982;8170;7040;6864;8664;8765;7411;11839;14634
31.12.2020;01003;Lübeck, kreisfreie Stadt;2799;2932;3640;4563;2811;1924;6744;7454;7572;6535;5852;6284;8233;8293;6661;10495;10831;2702;2693;3433;4405;2583;2060;6808;7133;6979;6336;6370;6507;8476;8851;7468;12606;16813
31.12.2020;01004;Neumünster, kreisfreie Stadt;1099;1130;1407;1990;1154;902;2572;2592;2808;2371;2323;2367;3139;3145;2662;3953;3944;992;1040;1345;1790;1103;800;2331;2210;2524;2250;2263;2383;3109;3169;2698;4512;5828
31.12.2020;01051;Dithmarschen, Landkreis;1615;1711;2252;3091;1967;1404;3801;3687;3678;3423;3432;3961;5567;5737;4971;8126;7288;1573;1627;2172;2949;1939;1344;3418;3117;3408;3337;3544;3894;5732;5932;5262;8593;9699
31.12.2020;01053;Herzogtum Lauenburg, Landkreis;2854;3095;3863;4929;3062;2106;5043;4721;5683;5971;5965;6052;8581;8769;6905;9999;10132;2668;3004;3646;4617;2922;1901;4236;4386;5576;6151;6262;6485;8608;8801;7162;10787;14210
31.12.2020;01054;Nordfriesland, Landkreis;2087;2235;2779;3696;2513;1728;4712;4892;5111;4486;4367;4831;6879;7132;5891;9655;8795;1988;2045;2656;3479;2351;1690;4088;4277;4451;4352;4648;5174;7143;7819;6515;10574;12108
31.12.2020;01055;Ostholstein, Landkreis;2236;2234;3191;4211;2761;1917;4807;4519;5085;4909;5179;5842;8474;8902;7556;12864;12484;2162;2295;3049;4070;2559;1803;3963;4180;4889;5245;5707;6350;9069;9571;8315;14162;16927
31.12.2020;01056;Pinneberg, Landkreis;4510;4769;6076;7698;4739;3212;8407;8396;9411;9529;9800;10040;13770;13509;10560;15133;15995;4350;4532;5832;7379;4436;3025;7383;7559;8881;9763;10138;10351;13808;13652;10871;17304;22267
31.12.2020;01057;Plön, Landkreis;1610;1754;2182;3000;1878;1390;3006;2707;3171;3192;3471;3765;5516;5774;4689;7715;7854;1591;1628;2229;2913;1807;1188;2498;2579;3247;3499;3591;4083;5903;6037;4974;8504;10408
31.12.2020;01058;Rendsburg-Eckernförde, Landkreis;3612;3917;5161;6718;4334;3040;7218;6561;7417;7447;7525;8435;12093;12059;9667;15402;14613;3441;3718;4854;6403;4004;2673;5877;6062;7254;7677;8005;8673;12406;12543;10091;16613;19252
31.12.2020;01059;Schleswig-Flensburg, Landkreis;2803;3021;3736;5063;3068;2069;5141;5021;5837;5355;5669;5914;8691;8864;7210;11790;10957;2567;2820;3574;4578;2979;1998;4408;4818;5613;5467;5795;6041;8797;8979;7513;12421;14070
31.12.2020;01060;Segeberg, Landkreis;3832;4059;5374;6842;4161;2847;7331;7212;8512;8720;8767;8766;12118;12021;9220;13759;13728;3711;3888;5163;6222;3977;2576;6056;6605;8286;8809;8839;8977;12038;11773;9695;15508;18615
31.12.2020;01061;Steinburg, Landkreis;1601;1797;2381;3025;1946;1389;3490;3488;3899;3565;3389;4000;5934;6156;4917;7011;6582;1583;1772;2186;2883;1850;1277;2951;3122;3612;3532;3633;4001;6012;6146;4882;7456;9238
31.12.2020;01062;Stormarn, Landkreis;3427;3643;4888;6267;3674;2469;6116;5430;6381;7092;7664;7825;10657;10570;8094;12239;13294;3115;3465;4623;5944;3524;2288;5103;4980;6352;7735;8102;7975;11118;10654;8345;13754;18182
31.12.2020;02000;Hamburg, kreisfreie Stadt;30701;29811;34992;41589;24343;16709;56648;70773;79067;70156;63811;59238;69654;64849;49615;71383;73594;29034;28479;33360;38633;22549;16218;55514;72423;78982;70993;64124;58666;67667;65025;52223;83285;108370
31.12.2020;03101;Braunschweig, kreisfreie Stadt;3416;3220;3999;5033;2929;2313;8713;11417;10705;8914;7326;7369;9300;8835;7361;10897;11482;3309;3194;3812;4701;2840;2191;7980;9674;9063;7814;7446;7161;9023;8905;7921;12967;17331
31.12.2020;03102;Salzgitter, kreisfreie Stadt;1748;1759;2139;2678;1566;1149;3229;3171;3309;3033;3026;2910;3779;4105;3511;5441;5053;1703;1654;2001;2390;1455;1050;2800;2872;2871;2767;2883;2980;3860;3952;3608;5997;7417
31.12.2020;03103;Wolfsburg, kreisfreie Stadt;1980;2028;2465;2792;1599;1212;3301;4122;4790;4539;4038;3560;4492;4701;3885;5813;6337;1894;1931;2179;2616;1568;1044;2899;3561;4248;4089;3788;3525;4515;4602;4142;6563;9022
31.12.2020;03151;Gifhorn, Landkreis;2856;2968;3500;4458;2714;1900;4767;4616;5528;5633;5303;5364;7470;8064;6678;9179;7592;2715;2788;3402;4194;2631;1814;3790;4101;5393;5489;5269;5426;7378;7939;6597;9399;10312
31.12.2020;03152;Göttingen, Landkreis (bis 31.10.2016);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2020;03153;Goslar, Landkreis;1458;1572;1924;2709;1686;1378;4054;4177;3933;3348;3565;3887;5630;5924;5034;8363;8184;1348;1489;1851;2517;1579;1226;3001;3259;3322;3373;3381;4010;5536;5828;5249;9106;11787
