"RS","NAME","INSGESAMT","INSG_M","INSG_W","AUSL_INSG","AUSL_M","AUSL_W","IIU6","IMU6","IWU6","DIU6","DMU6","DWU6","AIU6","AMU6","AWU6","II6BU15","IM6BU15","IW6BU15","DI6BU15","DM6BU15","DW6BU15","AI6BU15","AM6BU15","AW6BU15","II15BU65","IM15BU65","IW15BU65","DI15BU65","DM15BU65","DW15BU65","AI15BU65","AM15BU65","AW15BU65","II65UM","IM65UM","IW65UM","DI65UM","DM65UM","DW65UM","AI65UM","AM65UM","AW65UM","ANT_AI","ANT_AM","ANT_AW","ANT_AIU6","ANT_AMU6","ANT_AWU6","ANT_AI6BU15","ANT_AM6BU15","ANT_AW6BU15","ANT_AI15BU65","ANT_AM15BU65","ANT_AW15BU65","ANT_AI65UM","ANT_AM65UM","ANT_AW65UM","SOZ_INS","SOZ_AUS","BESCHQ_INS","BESCHQ_AUS","ARBLOS_INSG","ARBLOS_AUSL","BESCH_AUS_ABSOLUT","ARBSUCH_INSG_ABSOLUT","ARBSUCH_FLUMI_ABSOLUT","ALQ_AUSL","ANT_ARBS_FLUMI","ANT_SOZ_AUS","kurs_begon","kurs_beend","kurs_tnber","kurs_tln","AZR_INSG","AZR_GASTARB","AZR_EU28_AUSL","AZR_OST2004","AZR_NICHTEU_AUSL","AZR_SYRIEN","AZR_AFGHANISTAN","AZR_IRAK","AZR_EUNIEDERL","AZR_UNBEFR","AZR_BEFR","AZR_ERWERB","AZR_BLUE_C","AZR_GESTATT","AZR_DULD","AZR_U6","AZR_6BU15","AZR_15BU65","AZR_65UM","AZR_ADU2","AZR_AD2BU10","AZR_AD10BU25","AZR_AD25UM","AZR_ANT_GASTARB","AZR_ANT_EU28_AUSL","AZR_ANT_OST2004","AZR_ANT_NICHTEU_AUSL","AZR_ANT_SYRIEN","AZR_ANT_AFGHANISTAN","AZR_ANT_IRAK","AZR_ANT_EUNIEDERL","AZR_ANT_UNBEFR","AZR_ANT_BEFR","AZR_ANT_ERWERB","AZR_ANT_BLUE_C","AZR_ANT_GESTATT","AZR_ANT_DULD","AZR_ANT_U6","AZR_ANT_6BU15","AZR_ANT_15BU65","AZR_ANT_65UM","AZR_ANT_ADU2","AZR_ANT_AD2BU10","AZR_ANT_AD10BU25","AZR_ANT_AD25UM","N_Sch_I","N_Sch_I_Lag","N_Sch_O","N_Sch_J","N_Sch_N","N_Sch_SY","N_Sch_AF","N_Sch_IQ","N_Sch_RU","N_Sch_IR","N_Sch_XK","A2_Sch_i","A_Sch_O","A_Sch_J","A_Sch_N","A_Sch_SY","A_Sch_AF","A_Sch_IQ","A_Sch_RU","A_Sch_IR","A_Sch_XK","Sch_I_lag"
01001,"Flensburg, Stadt",89934,44797,45137,14202,7864,6338,5194,2718,2476,3985,2093,1892,1209,625,584,6816,3483,3333,5615,2876,2739,1201,607,594,59652,30630,29022,48924,24466,24458,10728,6164,4564,18272,7966,10306,17208,7498,9710,1064,468,596,15.8,17.6,14,23.3,23,23.6,17.6,17.4,17.8,18,20.1,15.7,5.8,5.9,5.8,31959,3612,53.4,36.8,4136,976,4250,7821,1146,17.1,14.7,11.3,42,35,529,498,16685,2270,7750,4315,8935,2535,835,805,8235,1645,4725,170,50,170,330,1250,1310,12885,1240,2900,9600,2155,2025,13.6,46.4,25.9,53.6,15.2,5,4.8,49.4,9.9,28.3,1,0.3,1,2,7.5,7.9,77.2,7.4,17.4,57.5,12.9,12.1,3965,3685,170,3410,380,1845,545,525,45,130,30,4.4,4.3,86.0,9.6,46.5,13.7,13.2,1.1,3.3,0.8,7.6
01002,"Kiel, Stadt",246601,120045,126556,29968,15383,14585,13253,6742,6511,10930,5607,5323,2323,1135,1188,17408,8903,8505,14921,7667,7254,2487,1236,1251,169355,84288,85067,146597,72314,74283,22758,11974,10784,46585,20112,26473,44185,19074,25111,2400,1038,1362,12.2,12.8,11.5,17.5,16.8,18.2,14.3,13.9,14.7,13.4,14.2,12.7,5.2,5.2,5.1,90876,7796,53.2,35.4,10009,2827,9945,20495,2892,21.6,14.1,8.6,100,92,1544,1139,31230,6910,7740,5370,23485,5395,890,2380,8265,5990,12850,525,105,615,1030,2285,2710,23650,2580,3685,16775,5915,4850,22.1,24.8,17.2,75.2,17.3,2.8,7.6,26.5,19.2,41.1,1.7,0.3,2,3.3,7.3,8.7,75.7,8.3,11.8,53.7,18.9,15.5,9015,8450,625,7400,990,3955,725,1545,420,310,35,3.7,6.9,82.1,11.0,43.9,8.0,17.1,4.7,3.4,0.4,6.7
01003,"Lübeck, Stadt",215846,103623,112223,23392,12067,11325,11126,5731,5395,9538,4893,4645,1588,838,750,16041,8203,7838,14286,7356,6930,1755,847,908,137934,68363,69571,120263,59043,61220,17671,9320,8351,50745,21326,29419,48367,20264,28103,2378,1062,1316,10.8,11.6,10.1,14.3,14.6,13.9,10.9,10.3,11.6,12.8,13.6,12,4.7,5,4.5,79044,6715,56.6,40.2,7981,1894,8097,16585,1667,8.5,10.1,8.5,74,76,963,808,26140,7505,8910,5630,17230,2550,945,1140,9285,6090,6880,390,85,565,930,1570,1980,19630,2960,2725,12365,5235,5815,28.7,34.1,21.5,65.9,9.8,3.6,4.4,35.5,23.3,26.3,1.5,0.3,2.2,3.6,6,7.6,75.1,11.3,10.4,47.3,20,22.2,5815,5785,565,4355,900,1915,715,715,350,400,20,2.7,9.7,74.9,15.5,32.9,12.3,12.3,6.0,6.9,0.3,0.5
01004,"Neumünster, Stadt",79905,39558,40347,10523,5877,4646,4261,2229,2032,3360,1765,1595,901,464,437,6532,3397,3135,5462,2812,2650,1070,585,485,50875,26035,24840,43042,21514,21528,7833,4521,3312,18237,7897,10340,17518,7590,9928,719,307,412,13.2,14.9,11.5,21.1,20.8,21.5,16.4,17.2,15.5,15.4,17.4,13.3,3.9,3.9,4,29611,2607,58.3,37.8,3282,766,3024,6228,459,3.8,7.4,8.8,21,19,455,221,11575,3035,4340,3795,7235,1320,670,490,4565,2195,2540,180,45,515,195,860,1180,8745,795,1805,6365,1610,1800,26.2,37.5,32.8,62.5,11.4,5.8,4.2,39.4,19,21.9,1.6,0.4,4.4,1.7,7.4,10.2,75.6,6.9,15.6,55,13.9,15.6,2490,2730,530,1540,420,775,520,265,70,95,40,3.1,21.3,61.8,16.9,31.1,20.9,10.6,2.8,3.8,1.6,-8.8
01051,"Dithmarschen",133251,65711,67540,8191,4467,3724,6526,3326,3200,5713,2907,2806,813,419,394,10464,5343,5121,9520,4859,4661,944,484,460,82555,41628,40927,76540,38258,38282,6015,3370,2645,33706,15414,18292,33287,15220,18067,419,194,225,6.1,6.8,5.5,12.5,12.6,12.3,9,9.1,9,7.3,8.1,6.5,1.2,1.3,1.2,48095,2477,57.8,44.2,3874,636,3009,7330,736,18.4,10,5.2,19,22,842,400,9055,1410,3925,3125,5130,1325,560,295,4060,940,2860,105,30,305,430,860,1020,6685,490,1355,5400,1340,960,15.6,43.3,34.5,56.7,14.6,6.2,3.3,44.8,10.4,31.6,1.2,0.3,3.4,4.7,9.5,11.3,73.8,5.4,15,59.6,14.8,10.6,2660,2695,305,1920,435,995,460,225,85,125,25,2.0,11.5,72.2,16.4,37.4,17.3,8.5,3.2,4.7,0.9,-1.3
01053,"Herzogtum Lauenburg",199152,97730,101422,17006,8990,8016,11621,5949,5672,10256,5209,5047,1365,740,625,17055,8792,8263,15378,7903,7475,1677,889,788,125348,62858,62490,112687,56127,56560,12661,6731,5930,45128,20131,24997,43825,19501,24324,1303,630,673,8.5,9.2,7.9,11.7,12.4,11,9.8,10.1,9.5,10.1,10.7,9.5,2.9,3.1,2.7,74526,5009,59.6,42.9,4928,1225,6000,9088,1206,17.3,13.3,6.7,28,25,863,609,17505,4620,6655,4945,10850,1860,1235,500,7025,3430,4730,230,40,545,750,1330,1730,13135,1310,2310,9100,2835,3260,26.4,38,28.2,62,10.6,7.1,2.9,40.1,19.6,27,1.3,0.2,3.1,4.3,7.6,9.9,75,7.5,13.2,52,16.2,18.6,4610,4585,545,3325,740,1390,1020,440,175,275,115,2.3,11.8,72.1,16.1,30.2,22.1,9.5,3.8,6.0,2.5,0.5
01054,"Nordfriesland",167147,81789,85358,12510,6769,5741,8355,4322,4033,7463,3830,3633,892,492,400,12610,6475,6135,11488,5888,5600,1122,587,535,105050,52542,52508,95362,47183,48179,9688,5359,4329,41132,18450,22682,40324,18119,22205,808,331,477,7.5,8.3,6.7,10.7,11.4,9.9,8.9,9.1,8.7,9.2,10.2,8.2,2,1.8,2.1,62101,4304,59.4,47.5,4955,980,4867,8409,801,15.9,9.5,6.9,16,14,698,341,12920,1825,6135,4330,6785,1340,735,550,6435,1180,3390,255,25,390,690,800,1110,10035,975,1780,7125,2130,1880,14.1,47.5,33.5,52.5,10.4,5.7,4.3,49.8,9.1,26.2,2,0.2,3,5.3,6.2,8.6,77.7,7.5,13.8,55.1,16.5,14.6,3370,3340,390,2275,705,1115,670,445,140,140,20,2.0,11.6,67.5,20.9,33.1,19.9,13.2,4.2,4.2,0.6,0.9
01055,"Ostholstein",201487,97171,104316,12048,6229,5819,8927,4470,4457,8144,4096,4048,783,374,409,14521,7402,7119,13366,6799,6567,1155,603,552,121602,59951,61651,112392,55095,57297,9210,4856,4354,56437,25348,31089,55537,24952,30585,900,396,504,6,6.4,5.6,8.8,8.4,9.2,8,8.1,7.8,7.6,8.1,7.1,1.6,1.6,1.6,72304,4307,59.3,49.2,5673,1040,5420,10081,877,15.9,8.7,6,17,13,916,596,12930,2420,5350,3655,7580,1600,665,675,5625,1530,3640,225,25,430,695,800,1175,9905,1045,1815,6945,2095,2075,18.7,41.4,28.3,58.6,12.4,5.1,5.2,43.5,11.8,28.2,1.7,0.2,3.3,5.4,6.2,9.1,76.6,8.1,14,53.7,16.2,16,3615,3340,430,2415,765,1210,565,580,180,180,40,1.8,11.9,66.8,21.2,33.5,15.6,16.0,5.0,5.0,1.1,8.2
01056,"Pinneberg",317085,155554,161531,36171,18948,17223,18161,9279,8882,15731,8046,7685,2430,1233,1197,26985,13774,13211,23890,12192,11698,3095,1582,1513,201240,101373,99867,173531,86556,86975,27709,14817,12892,70699,31128,39571,67762,29812,37950,2937,1316,1621,11.4,12.2,10.7,13.4,13.3,13.5,11.5,11.5,11.5,13.8,14.6,12.9,4.2,4.2,4.1,126855,11989,63.2,46.5,7853,2500,13853,15098,2224,9.5,14.7,9.5,70,47,1801,1225,39225,11980,14630,9370,24595,3755,2415,825,15710,8705,10650,760,140,650,1175,2450,3355,29760,3665,4415,18480,7225,9110,30.5,37.3,23.9,62.7,9.6,6.2,2.1,40.1,22.2,27.2,1.9,0.4,1.7,3,6.2,8.6,75.9,9.3,11.3,47.1,18.4,23.2,8575,8390,650,6765,1160,2880,2030,690,345,610,115,2.7,7.6,78.9,13.5,33.6,23.7,8.0,4.0,7.1,1.3,2.2
01057,"Plön",129353,62674,66679,6408,3385,3023,6583,3364,3219,6071,3083,2988,512,281,231,10324,5182,5142,9601,4829,4772,723,353,370,77965,38559,39406,73248,35977,37271,4717,2582,2135,34481,15569,18912,34025,15400,18625,456,169,287,5,5.4,4.5,7.8,8.4,7.2,7,6.8,7.2,6.1,6.7,5.4,1.3,1.1,1.5,45586,1721,58.2,37.3,2638,464,2106,5294,670,18.9,12.7,3.8,7,8,549,348,6590,1050,1930,1180,4655,1115,410,400,2130,920,2145,70,10,265,335,485,700,4875,530,705,3715,1210,960,15.9,29.3,17.9,70.6,16.9,6.2,6.1,32.3,14,32.5,1.1,0.2,4,5.1,7.4,10.6,74,8,10.7,56.4,18.4,14.6,2300,2480,265,1655,380,795,330,295,105,85,30,1.8,11.5,72.0,16.5,34.6,14.3,12.8,4.6,3.7,1.3,-7.3
