Art_der_Straftat;Straftatcluster
Straftaten insgesamt;Straftaten insgesamt
Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;Vergewaltigung (besonders schwer)
Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;Raub
Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;Raub
Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte;Raub
Handtaschenraub;Raub
Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;Raub
Raubüberfälle in Wohnungen;Raub
Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;Körperverletzung (schwer)
Vorsätzliche einfache Körperverletzung § 223 StGB;Körperverletzung (einfach)
Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;Diebstahl (einfach)
Einfacher Ladendiebstahl;Diebstahl (einfach)
Diebstahl unter erschwerenden Umständen §§ 243-244a StGB und zwar:;Diebstahl (schwer)
Wohnungseinbruchdiebstahl §§ 244 Abs. 1 Nr. 3 und Abs. 4, 244a StGB;Einbruchdiebstahl
Tageswohnungseinbruchdiebstahl §§ 244 Abs. 1 Nr. 3 und Abs. 4, 244a StGB;Einbruchdiebstahl
Diebstahl insgesamt und zwar:;Diebstahl insgesamt
Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme;Diebstahl KFZ
Diebstahl insgesamt von Mopeds und Krafträdern einschl. unbefugte Ingebrauchnahme;Diebstahl KFZ
Diebstahl insgesamt von Fahrrädern einschl. unbefugte Ingebrauchnahme;Diebstahl KFZ
Diebstahl insgesamt an/aus Kraftfahrzeugen;Diebstahl KFZ
Taschendiebstahl insgesamt;Diebstahl (einfach)
Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;Betrug
Erschleichen von Leistungen § 265a StGB;Erschleichen von Leistungen
Beförderungserschleichung;Beförderungserschleichung
Unterschlagung §§ 246, 247, 248a StGB;Unterschlagung
Urkundenfälschung §§ 267-271, 273-279, 281 StGB;Unterkundenfälschung
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;Widerstand gg. Vollstreckungsbeamte insgesamt
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;Widerstand gg. Vollstreckungsbeamte
Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114, 115 StGB;Widerstand gg. Vollstreckungsbeamte
Begünstigung, Strafvereitelung (ohne Strafvereitelung im Amt), Hehlerei und Geldwäsche §§ 257, 258, 259-261 StGB;Begünstigung, Strafvereitelung, Hehlerei, Geldwäsche
Brandstiftung und Herbeiführen einer Brandgefahr §§ 306-306d, 306f StGB;Brandstiftung
Sachbeschädigung §§ 303-305a StGB;Sachbeschädigung
Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;Straftaten gg. Asyl- und Aufenthaltsgesetz
Rauschgiftdelikte (soweit nicht bereits mit anderer Schlüsselzahl erfasst);Rauschgift
Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);Straftaten insgesamt - ohne Asyl- und Aufenthaltsgesetz
Gewaltkriminalität;Gewalt
Mord, Totschlag und Tötung auf Verlangen;Mord, Totschlag, Tötung auf Verlangen
Computerkriminalität;Cyberkriminalität
Straßenkriminalität;Straßenkriminalität
Sachbeschädigung durch Graffiti insgesamt;Sachbeschädigung
Unerlaubt eingereiste/aufhältige Personen (SZ: 725100, 725700);Straftaten gg. Asyl- und Aufenthaltsgesetz
Cybercrime im engeren Sinne;Cyberkriminalität
