,Kreis_ID,Straftat_Cluster,Stadt-/Landkreis,Anzahl erfasste Faelle,Haeufigkeitszahl,"erfasste Faelle, davon Versuche - Anzahl",mit Schusswaffe gedroht,mit Schusswaffe geschossen,Auffklaerung - Anzahl Faelle,Tatverdaechtige insgesamt,Tatverdaechtige - maennlich,Tatverdaechtige - weiblich,Nichtdeutsche Tatverdaechtige - Anzahl,"erfasste Faelle, davon Versuche - Anteil in %",Aufklaerungsquote in %,Nichtdeutsche Tatverdaechtige - Anteil in % an der Gesamtzahl,Berufl. Absolventen Anzahl insgesamt,Berufl. Absolventen Anzahl weiblich,Berufl. Absolventen Anzahl mit Hauptschulabschluss insgesamt,Berufl. Absolventen Anzahl mit Hauptschulabschluss weiblich,Berufl. Absolventen Anzahl mit mittlerem Abschluss insgesamt,Berufl. Absolventen Anzahl mit mittlerem Abschluss weiblich,Berufl. Absolventen Anzahl mit Fachhochschulreife insgesamt,Berufl. Absolventen Anzahl mit Fachhochschulreife weiblich,Berufl. Absolventen Anzahl mit allg. Hochschulreife einschl. fachgeb. Hochschulreife insgesamt,Allg. Absolventen Anzahl insgesamt,Allg. Absolventen Anzahl weiblich,Allg. Absolventen Anzahl ohne Hauptschulabschluss Insgesamt,Allg. Absolventen Anzahl ohne Hauptschulabschluss weiblich,Allg. Absolventen Anzahl mit Hauptschulabschluss Insgesamt,Allg. Absolventen Anzahl mit Hauptschulabschluss weiblich,Allg. Absolventen Anzahl mit mittlerer Reife Insgesamt,Allg. Absolventen Anzahl mit mittlerer Reife weiblich,Allg. Absolventen Anzahl mit schulischen Teil der Fachhochschulreife Insgesamt,Allg. Absolventen Anzahl mit schulischen Teil der Fachhochschulreife weiblich,Allg. Absolventen Anzahl mit Fachhochschulreife Insgesamt,Allg. Absolventen Anzahl mit Fachhochschulreife weiblich,Allg. Absolventen Anzahl mit allg. Hochschulreife Insgesamt,Allg. Absolventen Anzahl mit allg. Hochschulreife weiblich,Arbeitslose Anzahl insgesamt,Arbeitslose Anzahl Ausländer,Arbeitslose Anzahl Schwerbehindert,Arbeitslose Anzahl Alter zwischen 15 bis unter 20 Jahre,Arbeitslose Anzahl Alter zwischen 20 bis unter 55 Jahre,Arbeitslose Anzahl Alter zwischen 55 bis unter 65 Jahre,Arbeitslose Anzahl Langzeitarbeitslos,Arbeitslosenquote Prozent bezogen auf abhängige zivile Erwerbspersonen,Arbeitslosenquote Prozent bezogen auf alle zivilen Erwerbspersonen,Wahlberechtige Anzahl,Wahlbeteiligung Prozent,Gültige Zeitstimmen Anzahl,Gültige Zweitstimmen Parteien CDU/CSU Anzahl,Gültige Zweitstimmen Parteien SPD Anzahl,Gültige Zweitstimmen Parteien GRÜNE Anzahl,Gültige Zweitstimmen Parteien FDP Anzahl,Gültige Zweitstimmen Parteien DIE LINKE Anzahl,Gültige Zweitstimmen Parteien AfD Anzahl
0,1001,Beförderungserschleichung,Flensburg,57,63,0,0,0,56,56,37,19,34,0.0,98.24561403508771,60.71428571428571,804,342,189,69,243,90,141,57,231,1116,555,84,39,147,57,393,204,60,33,,,489,258,4722,1144,274,102,568,782,1419,9.9,9.1,69302,74.0,50818,7152,12480,12296,4780,3153,2756
1,1001,"Begünstigung, Strafvereitelung, Hehlerei, Geldwäsche",Flensburg,25,28,0,0,0,24,27,20,7,9,0.0,96.0,33.33333333333333,804,342,189,69,243,90,141,57,231,1116,555,84,39,147,57,393,204,60,33,,,489,258,4722,1144,274,102,568,782,1419,9.9,9.1,69302,74.0,50818,7152,12480,12296,4780,3153,2756
2,1001,Betrug,Flensburg,797,884,74,0,0,585,442,294,148,107,9.284818067754077,73.40025094102886,24.20814479638009,804,342,189,69,243,90,141,57,231,1116,555,84,39,147,57,393,204,60,33,,,489,258,4722,1144,274,102,568,782,1419,9.9,9.1,69302,74.0,50818,7152,12480,12296,4780,3153,2756
3,1001,Brandstiftung,Flensburg,28,31,4,0,0,12,12,8,4,2,14.285714285714285,42.857142857142854,16.666666666666664,804,342,189,69,243,90,141,57,231,1116,555,84,39,147,57,393,204,60,33,,,489,258,4722,1144,274,102,568,782,1419,9.9,9.1,69302,74.0,50818,7152,12480,12296,4780,3153,2756
4,1001,Cyberkriminalität,Flensburg,172,191,36,0,0,84,60,43,17,17,20.930232558139537,48.837209302325576,28.333333333333332,804,342,189,69,243,90,141,57,231,1116,555,84,39,147,57,393,204,60,33,,,489,258,4722,1144,274,102,568,782,1419,9.9,9.1,69302,74.0,50818,7152,12480,12296,4780,3153,2756
5,1001,Diebstahl (einfach),Flensburg,841,933,22,0,0,783,585,405,180,234,2.6159334126040426,93.10344827586206,40.0,804,342,189,69,243,90,141,57,231,1116,555,84,39,147,57,393,204,60,33,,,489,258,4722,1144,274,102,568,782,1419,9.9,9.1,69302,74.0,50818,7152,12480,12296,4780,3153,2756
6,1001,Einbruchdiebstahl,Flensburg,174,193,83,0,0,64,48,39,9,17,47.701149425287355,36.7816091954023,35.41666666666667,804,342,189,69,243,90,141,57,231,1116,555,84,39,147,57,393,204,60,33,,,489,258,4722,1144,274,102,568,782,1419,9.9,9.1,69302,74.0,50818,7152,12480,12296,4780,3153,2756
7,1001,Erschleichen von Leistungen,Flensburg,64,71,0,0,0,63,64,43,21,38,0.0,98.4375,59.375,804,342,189,69,243,90,141,57,231,1116,555,84,39,147,57,393,204,60,33,,,489,258,4722,1144,274,102,568,782,1419,9.9,9.1,69302,74.0,50818,7152,12480,12296,4780,3153,2756
8,1001,Gewalt,Flensburg,392,435,59,7,0,335,404,352,52,119,15.051020408163266,85.45918367346938,29.455445544554454,804,342,189,69,243,90,141,57,231,1116,555,84,39,147,57,393,204,60,33,,,489,258,4722,1144,274,102,568,782,1419,9.9,9.1,69302,74.0,50818,7152,12480,12296,4780,3153,2756
9,1001,Körperverletzung (einfach),Flensburg,639,709,10,0,0,564,591,476,115,171,1.5649452269170578,88.26291079812206,28.934010152284262,804,342,189,69,243,90,141,57,231,1116,555,84,39,147,57,393,204,60,33,,,489,258,4722,1144,274,102,568,782,1419,9.9,9.1,69302,74.0,50818,7152,12480,12296,4780,3153,2756
10,1001,Körperverletzung (schwer),Flensburg,256,284,38,0,0,225,300,254,46,81,14.84375,87.890625,27.0,804,342,189,69,243,90,141,57,231,1116,555,84,39,147,57,393,204,60,33,,,489,258,4722,1144,274,102,568,782,1419,9.9,9.1,69302,74.0,50818,7152,12480,12296,4780,3153,2756
11,1001,"Mord, Totschlag, Tötung auf Verlangen",Flensburg,5,6,4,0,0,5,17,17,0,8,80.0,100.0,47.05882352941176,804,342,189,69,243,90,141,57,231,1116,555,84,39,147,57,393,204,60,33,,,489,258,4722,1144,274,102,568,782,1419,9.9,9.1,69302,74.0,50818,7152,12480,12296,4780,3153,2756
12,1001,Raub,Flensburg,158,175,24,13,0,116,142,132,10,46,15.18987341772152,73.41772151898735,32.3943661971831,804,342,189,69,243,90,141,57,231,1116,555,84,39,147,57,393,204,60,33,,,489,258,4722,1144,274,102,568,782,1419,9.9,9.1,69302,74.0,50818,7152,12480,12296,4780,3153,2756
13,1001,Rauschgift,Flensburg,560,621,6,0,0,533,514,443,71,86,1.0714285714285714,95.17857142857142,16.731517509727624,804,342,189,69,243,90,141,57,231,1116,555,84,39,147,57,393,204,60,33,,,489,258,4722,1144,274,102,568,782,1419,9.9,9.1,69302,74.0,50818,7152,12480,12296,4780,3153,2756
14,1001,Sachbeschädigung,Flensburg,923,1024,6,0,5,198,180,153,27,33,0.6500541711809318,21.451787648970747,18.333333333333332,804,342,189,69,243,90,141,57,231,1116,555,84,39,147,57,393,204,60,33,,,489,258,4722,1144,274,102,568,782,1419,9.9,9.1,69302,74.0,50818,7152,12480,12296,4780,3153,2756
15,1001,Straftaten gg. Asyl- und Aufenthaltsgesetz,Flensburg,545,604,5,0,0,531,539,465,74,537,0.9174311926605505,97.43119266055047,99.62894248608535,804,342,189,69,243,90,141,57,231,1116,555,84,39,147,57,393,204,60,33,,,489,258,4722,1144,274,102,568,782,1419,9.9,9.1,69302,74.0,50818,7152,12480,12296,4780,3153,2756
16,1001,Straßenkriminalität,Flensburg,1737,1926,179,1,2,430,361,325,36,106,10.305123776626367,24.755325273459988,29.362880886426595,804,342,189,69,243,90,141,57,231,1116,555,84,39,147,57,393,204,60,33,,,489,258,4722,1144,274,102,568,782,1419,9.9,9.1,69302,74.0,50818,7152,12480,12296,4780,3153,2756
